Title,Specialization,Salary,Age,Employment,Work schedule,Experience years,Experience month,Citizenship,Sex,link to resume
Python Developer,"Программист, разработчик",0,38,"Занятость: стажировка, частичная занятость, проектная работа, полная занятость","График работы: гибкий график, полный день, сменный график, вахтовый метод, удаленная работа",13,8,Гражданство: Казахстан,Мужчина,https://hh.kz//resume/b7f2197800057fa8e30039ed1f6b55554a7632?query=python&hhtmFrom=resume_search_result
Python разработчик,"Программист, разработчик",0,23,Занятость: полная занятость,График работы: удаленная работа,1,8,Гражданство: Россия,Мужчина,https://hh.kz//resume/c5ffe3dc00063777b90039ed1f4f566e546755?query=python&hhtmFrom=resume_search_result
Программист Python,"Программист, разработчик",0,22,"Занятость: проектная работа, стажировка, частичная занятость, полная занятость","График работы: удаленная работа, гибкий график, полный день, сменный график",1,8,Гражданство: Беларусь,Мужчина,https://hh.kz//resume/cdd1757d0007268d4d0039ed1f3938356f6d73?query=python&hhtmFrom=resume_search_result
Программист Python,"Programmer, developer",0,30,Employment: full time,Work schedule: full day,5,6,Citizenship: Russia,Male,https://hh.kz//resume/69dd143c0003a1f6f20039ed1f42325a62386e?query=python&hhtmFrom=resume_search_result
Python Developer,"Программист, разработчик",300000,20,"Занятость: частичная занятость, полная занятость","График работы: гибкий график, полный день, удаленная работа",6,0,Гражданство: Казахстан,Мужчина,https://hh.kz//resume/559ada080008311e020039ed1f355374666f62?query=python&hhtmFrom=resume_search_result
Python developer,"Программист, разработчик",1000000,41,"Занятость: частичная занятость, проектная работа, полная занятость","График работы: гибкий график, полный день, сменный график, вахтовый метод, удаленная работа",21,5,Гражданство: Казахстан,Мужчина,https://hh.kz//resume/0827db430000e72e6e0039ed1f346e34746a4b?query=python&hhtmFrom=resume_search_result
Python Developer,"Программист, разработчик",312900,21,"Занятость: стажировка, частичная занятость, проектная работа, полная занятость","График работы: гибкий график, полный день, сменный график, удаленная работа",1,10,Гражданство: Казахстан,Мужчина,https://hh.kz//resume/05be7fa80009200b590039ed1f3951476e6f41?query=python&hhtmFrom=resume_search_result
middle python developer,"Programmer, developer",0,21,"Employment: part time, project work, full time","Work schedule: flexible schedule, full day, shift schedule, rotation based work, remote working",2,5,Citizenship: Kazakhstan,Male,https://hh.kz//resume/516029be000708f5ba0039ed1f336437323043?query=python&hhtmFrom=resume_search_result
Python backend developer,"Программист, разработчик",670500,20,"Занятость: стажировка, частичная занятость, проектная работа, полная занятость","График работы: гибкий график, полный день, удаленная работа",2,3,Гражданство: Узбекистан,Мужчина,https://hh.kz//resume/5772ea490008e3ab8a0039ed1f357772535476?query=python&hhtmFrom=resume_search_result
Junior Data Engineer,"BI-аналитик, аналитик данных",60000,25,"Занятость: стажировка, частичная занятость, проектная работа, полная занятость","График работы: гибкий график, полный день, удаленная работа",3,3,Гражданство: Россия,Мужчина,https://hh.kz//resume/6166828a0006861b5f0039ed1f6b5750756478?query=python&hhtmFrom=resume_search_result
Программист Python,"Программист, разработчик",0,28,"Занятость: стажировка, полная занятость","График работы: полный день, удаленная работа",6,4,Гражданство: Казахстан,Мужчина,https://hh.kz//resume/7411219c00081aed9e0039ed1f4839716a4245?query=python&hhtmFrom=resume_search_result
Python Developer,"Программист, разработчик",0,32,"Занятость: частичная занятость, полная занятость","График работы: полный день, удаленная работа",8,1,Гражданство: Казахстан,Мужчина,https://hh.kz//resume/c02a43dc00015323430039ed1f464e6e325261?query=python&hhtmFrom=resume_search_result
Программист-разработчик,"Программист, разработчик",0,24,Занятость: полная занятость,График работы: полный день,1,7,Гражданство: Казахстан,Мужчина,https://hh.kz//resume/e0fede4b00080b91250039ed1f317a326f5154?query=python&hhtmFrom=resume_search_result
Разработчик Python,"Программист, разработчик",0,21,"Занятость: проектная работа, стажировка, частичная занятость, полная занятость","График работы: удаленная работа, гибкий график, полный день, сменный график",11,0,Гражданство: Казахстан,Мужчина,https://hh.kz//resume/9b0d68e00007253dc80039ed1f723478684150?query=python&hhtmFrom=resume_search_result
Python Backend разработчик,"Программист, разработчик",0,23,Занятость: полная занятость,"График работы: гибкий график, полный день, удаленная работа",2,6,Гражданство: Казахстан,Мужчина,https://hh.kz//resume/138e489900087097110039ed1f514870596a49?query=python&hhtmFrom=resume_search_result
"Python, Java разработчик","Программист, разработчик",400000,26,"Занятость: частичная занятость, проектная работа, полная занятость","График работы: гибкий график, полный день, сменный график, удаленная работа",1,10,Гражданство: Казахстан,Мужчина,https://hh.kz//resume/cca06a6100060bf5e60039ed1f643033714367?query=python&hhtmFrom=resume_search_result
Программист-разработчик,"Programmer, developer",0,22,"Employment: part time, full time","Work schedule: flexible schedule, full day, shift schedule, remote working",1,9,Citizenship: Kazakhstan,Male,https://hh.kz//resume/842edaa30008493f7d0039ed1f57334f767759?query=python&hhtmFrom=resume_search_result
"Data scientist, machine learning, web developer","Программист, разработчик",0,not required,Занятость: полная занятость,График работы: полный день,3,8,Гражданство: Казахстан,Мужчина,https://hh.kz//resume/aae6295a0007681b860039ed1f766b70677375?query=python&hhtmFrom=resume_search_result
Python Developer,"Программист, разработчик",0,20,"Занятость: стажировка, частичная занятость, проектная работа, полная занятость","График работы: гибкий график, полный день, сменный график, удаленная работа",1,9,Гражданство: Казахстан,Мужчина,https://hh.kz//resume/3df31a3a0008fc3e540039ed1f6872554b4252?query=python&hhtmFrom=resume_search_result
 Junior Python,"Программист, разработчик",0,21,"Занятость: стажировка, частичная занятость, проектная работа, полная занятость","График работы: гибкий график, полный день, сменный график, вахтовый метод, удаленная работа",2,1,Гражданство: Казахстан,Мужчина,https://hh.kz//resume/9bf66ab300088aeac90039ed1f39355276424b?query=python&hhtmFrom=resume_search_result
